FREQ;Frekvens;BASE_CUR;Basisvaluta;QUOTE_CUR;Kvoteringsvaluta;TENOR;Løpetid;DECIMALS;CALCULATED;UNIT_MULT;Multiplikator;COLLECTION;Innsamlingstidspunkt;TIME_PERIOD;OBS_VALUE
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2018-11-22;42,23
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2018-11-23;42,15
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2018-11-26;41,92
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2018-11-27;41,99
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2018-11-28;42,1
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2018-11-29;42,28
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2018-11-30;42,18
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2018-12-03;42,66
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2018-12-04;41,57
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2018-12-05;41,54
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2018-12-06;41,53
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2018-12-07;41,9
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2018-12-10;41,88
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2018-12-11;42,15
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2018-12-12;42,73
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2018-12-13;42,52
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2018-12-14;42,24
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2018-12-17;42,86
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2018-12-18;43,29
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2018-12-19;43,44
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2018-12-20;43,45
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2018-12-21;43,7
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2018-12-27;44,06
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2018-12-28;44,22
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2018-12-31;44,23
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-01-02;44,26
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-01-03;44,57
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-01-04;44,22
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-01-07;44,31
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-01-08;44,11
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-01-09;44,19
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-01-10;44,06
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-01-11;44,2
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-01-14;44,52
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-01-15;44,92
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-01-16;44,99
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-01-17;45,09
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-01-18;44,78
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-01-21;44,74
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-01-22;44,82
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-01-23;44,85
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-01-24;45,03
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-01-25;45,23
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-01-28;44,79
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-01-29;44,69
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-01-30;44,42
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-01-31;44,12
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-02-01;44,06
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-02-04;44,23
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-02-05;44,52
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-02-06;44,54
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-02-07;44,74
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-02-08;45,22
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-02-11;45,48
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-02-12;45,06
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-02-13;44,61
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-02-14;44,53
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-02-15;44,88
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-02-18;44,72
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-02-19;44,9
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-02-20;44,79
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-02-21;44,83
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-02-22;44,83
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-02-25;45,11
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-02-26;45
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-02-27;44,52
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-02-28;44,4
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-03-01;44,22
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-03-04;44,51
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-03-05;44,85
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-03-06;44,97
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-03-07;44,84
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-03-08;44,96
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-03-11;44,73
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-03-12;44,73
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-03-13;44,56
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-03-14;44,4
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-03-15;44,48
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-03-18;44,47
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-03-19;44,83
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-03-20;45,04
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-03-21;44,88
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-03-22;44,96
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-03-25;44,71
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-03-26;44,82
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-03-27;44,7
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-03-28;44,7
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-03-29;44,53
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2019-04-01;44,53
